dish_serial,dish_name
26_47375739703660544,葱油娃娃菜
26_47374676875415552,木耳西兰花
26_47372471472623616,肉末茄子
26_47379061760200704,米饭
26_47373891743649792,酥鱼/红烧肉
26_47376474050793472,香菇鸭块/雪蘑菇肉片
26_47392490109669376,小酥肉
26_47373257908817920,椒盐虾
26_47376794684362752,韭黄肉丝小炒
26_47377396340494336,三色绿豆芽
26_47375044388720640,凉拌黑木耳/素烧鹅
26_47375420961722368,西红柿炒鸡蛋
26_47397476881272832,青菜
26_47398890068119552,大白菜
26_48461049501978624,茄子豆角
26_48461594572754944,土豆丝/大白菜
26_48462935516909568,海带丝
26_48464571123503104,芹菜香干
26_48463756191207424,木耳花菜/青瓜炒蛋
26_48463435717021696,蘑菇小炒肉
26_48461646162694144,油豆腐烧肉
26_48457672449724416,红烧排骨
26_48459880079691776,椒盐带鱼/鸡排
26_48465394704453632,口水鸡
26_48825273109581824,大排/春卷
26_48828324339912704,卤肉
26_48827102522380288,小黄鱼
26_48825909251280896,酸辣土豆丝
26_48819631481294848,清炒南瓜/豆芽
26_48824212403654656,酸辣藕丝/木耳莴笋
26_48829126651547648,小炒
26_48818878670835712,虎皮尖椒/西葫芦炒蛋
26_48821777136226304,千叶豆腐肉丝
26_48822604177477632,香酥鸭肉/椒盐虾
26_48842303778983936,豆芽
26_49186373130915840,醋溜鱼/宫保鸡丁
26_49190051107704832,青椒水面筋/木耳西兰
26_49184534943633408,包菜粉丝
26_49177902981451776,干菜长江豆
26_49180432411004928,鸡米花/辣子鸡
26_49181446346248192,花椒排骨
26_49192327952076800,青瓜花生米/青椒炒蛋
26_49182898133274624,鱼香杏鲍菇炒肉
26_49204770417807360,春卷/辣子鸡
26_49548530490150912,葱油炒鳊鱼
26_49550117186965504,豆芽/木耳青菜
26_49541748875202560,木耳南瓜/青瓜炒蛋
26_49549292205117440,茄子长江豆/素烧鹅
26_49547847724568576,茭白榨菜肉丝/杏鲍菇
26_49544546421444608,木耳花菜
26_49550527234707456,葱油鸡
26_49555257134551040,鸡排/椒盐排骨
26_49570510991921152,韭黄炒西葫芦
26_49573069664161792,西葫芦/花菜
26_49905814495956992,茄子长豆/虎皮青椒
26_49909032047218688,红烧肉/香菇鸡肉
26_49913839134838784,芹菜香干/青瓜凉皮
26_49917049941659648,青菜/白菜油腐
26_49914653857419264,木耳莴笋
26_49915420467138560,牛肉
26_49917743172030464,虎皮包/油爆虾
26_49912240417148928,韭黄肉丝/红烧大排
26_49903795932631040,葱油扇贝
26_49916397656084480,雪菜毛豆/青椒面筋
26_51362407922143232,红烧子排
26_51366669880266752,虎皮尖椒/家常豆腐
26_51368186062442496,蘑菇肉片/椒盐虾
26_51367115072081920,西兰花/韭黄炒鸡蛋
26_51368982778875904,酱爆茄子/土豆洋葱
26_51365959914622976,春卷/山药卷
26_51728015360659456,白菜油付/土豆丝
26_51720104274169856,鸭血豆腐/包菜粉丝
26_51726827219193856,芦笋牛柳/莴笋目鱼花
26_51713064214597632,黄豆猪脚
26_51716651443425280,椒盐带鱼/油爆虾
26_51718413919326208,香菇鸡肉/鱼香肉丝
26_51721242000101376,雪菜素鸡/丝瓜毛豆子
26_51722718197977088,木耳花菜/青韭炒蛋
26_52080884723093504,素包子
26_52090573565333504,葱油娃娃菜/莴苣
26_52088646337171456,藕片/芋头
26_52083150117015552,木耳炒蛋/水面筋
26_52089599958323200,豆芽/青菜
26_52085560046653440,大排/糖醋里脊
26_52093181633892352,鸡排/茭白肉丝
26_52086867788697600,黄鱼
26_52091412858146816,盐水虾/卤肉
26_52087588835692544,酱鸭
26_52095537637363712,糖醋里脊
26_52095219390353408,大排
26_52445796284633088,春卷
26_52452487331975168,莴苣
26_52450328280436736,千叶豆腐肉丝/茭白肉
26_52450971313377280,黄瓜炒蛋/丝瓜
26_52451857385263104,白菜/土豆丝
26_52444681157611520,酥鱼/椒盐虾
26_52466627144454144,土豆丝/青菜
26_53534016422416384,扎肉
26_53531189297942528,红烧白萝卜/红烧茄子
26_53537949731655680,大白菜/豆芽
26_53539013633642496,青椒炒鸡蛋
26_53535331613544448,莴笋烧肉/千张节烧肉
26_53531764332826624,香菇肉丝/鸡排
26_53536912681603072,花菜
26_53541756465188864,青椒炒面筋/咸菜绿豆
26_53533575408128000,盐水虾
26_53555184835629056,红烧茄子/油麦菜
26_53900193216729088,西葫芦肉丝/茭白肉丝
26_53893152209244160,红烧肉
26_53901957773004800,清烧南瓜/葱油芋头
26_53896969558560768,家常豆腐
26_53904924488110080,大白菜/黄瓜炒蛋
26_53906769008791552,土豆丝/小青菜
26_53904924488110080,娃娃菜/黄瓜炒蛋
26_53915177317437440,红烧大排
26_54264610626342912,雪菜毛豆/萝卜干炒蛋
26_54253528629252096,鸡米花/椒盐虾
26_54260617820901376,小青菜
26_54263125716897792,油豆腐/长江豆肉丝
26_54251333280206848,红烧排骨.
26_54262206883303424,莴苣/藕片
26_54261573253992448,付皮包.
26_54259811822473216,红烧茄子/椒盐土豆
26_54263983317848064,虎皮尖椒/素烧鹅
26_54258689338642432,椒盐虾，
26_54280018603413504,油麦菜
26_54623899152945152,丝瓜炒蛋/家常豆腐
26_54619665208578048,千张结烧肉
26_54621133047205888,萝卜丝带鱼
26_54622809690869760,千叶豆腐肉丝/韭黄肉
26_54622133506150400,花菜.
26_54626210130563072,凉拌海带
26_54644640376295424,尖椒肉丝小炒
26_54986185294090240,青椒炒面筋
26_54981264637300736,蘑菇肉片/雪菜鱿鱼
26_54980308440846336,油爆虾
26_54986325249626112,红烧萝卜/番茄炒鸡蛋
26_54987069260435456,葱油芋头/莴笋丝
26_54983366281400320,千叶豆腐肉丝.
26_55002413094014976,茭白肉丝小炒
26_48461594572754944,土豆丝/包菜油付
26_56074692599091200,西葫芦炒鸡蛋/肉末茄
26_56076628970835968,青瓜付竹肉片
26_53531764332826624,香菇肉丝
26_49548530490150912,葱油鳊鱼
26_56427216719974400,椒盐带鱼
26_56436730433245184,鱼香肉丝/蒜苗香干肉
26_56440171394109440,酱爆猪肝
26_56456773472751616,木耳芹菜
26_56799404434264064,青椒面筋/西葫芦炒蛋
26_56798140795326464,虎皮青椒/茄子长豆
26_56798960022589440,白菜千张丝
26_56803989915832320,莴笋目鱼花
26_56817115600130048,莴笋肉丝小炒
26_57153219285094400,宫保鸡丁
26_57158785218777088,青瓜炒蛋/莴笋小炒
26_57162148266250240,长江豆肉丝/香菇肉丝
26_57164824685187072,椒盐土豆/藕片
26_57153933495373824,炸鸡排
26_54255659977412608,付皮包
